Year,Language,Count
2016,R,1
2016,Python,1
2016,MATLAB,1
2017,R,2
2017,Python,1
2018,R,3
2018,PyTorch,2
2018,Java,1
2019,R,4
2020,R,11
2020,Python,7
2020,PyTorch,1
2020,ROS,1
2020,MATLAB,2
2020,Julia,1
2020,TensorFlow,1
2021,R,18
2021,Python,4
2021,PyTorch,5
2021,ROS,2
2021,MATLAB,1
2021,Julia,1
2021,JAX,1
2021,Java,1
2021,JavaScript,1
2022,R,12
2022,Python,4
2022,PyTorch,2
2022,ROS,1
2022,Julia,1
2023,R,19
2023,Python,7
2023,PyTorch,1
2023,Julia,1
2023,TensorFlow,1
2023,JAX,1
2024,R,26
2024,Python,11
2024,PyTorch,2
2024,ROS,1
2024,MATLAB,2
2024,Julia,2
2024,Java,1
2025,R,33
2025,Python,18
2025,PyTorch,5
2025,ROS,4
2025,MATLAB,3
2025,Julia,1
2025,TensorFlow,2
2025,JAX,2
2025,ROS2,2
2025,JavaScript,1
