Tools,Count,Percentage
R,52,40.00%
Python + R,30,23.08%
PyTorch + R,9,6.92%
PyTorch + Python + R,4,3.08%
MATLAB + Python + R,4,3.08%
R + ROS,3,2.31%
Julia + Python + R,3,2.31%
Python + R + ROS,2,1.54%
Java + R,2,1.54%
JavaScript + R,2,1.54%
Python + R + TensorFlow,2,1.54%
Julia + R,2,1.54%
PyTorch + R + ROS,2,1.54%
MATLAB + PyTorch + Python + R,1,0.77%
MATLAB + R,1,0.77%
JAX + Julia + R,1,0.77%
JAX + MATLAB + Python + R,1,0.77%
Julia + MATLAB + R,1,0.77%
JAX + Python + R,1,0.77%
PyTorch + Python + R + ROS,1,0.77%
Python,1,0.77%
Java + PyTorch + Python + R,1,0.77%
R + ROS2,1,0.77%
R + ROS + ROS2,1,0.77%
MATLAB + Python + R + TensorFlow,1,0.77%
JAX + Python + R + TensorFlow,1,0.77%
